Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Std-01,,7.498685991,1000000
A02,SYBR,,Std-01,,7.387953523,1000000
A03,SYBR,,Std-01,,7.462303878,1000000
A04,SYBR,,Unkn-01,,10.23680866,147626.4666
A05,SYBR,,Unkn-01,,9.967780364,175605.3434
A06,SYBR,,Unkn-01,,10.09653876,161608.2623
A07,SYBR,,Unkn-02,,10.37007382,135465.0936
A08,SYBR,,Unkn-02,,10.30635324,141149.6999
A09,SYBR,,Unkn-02,,10.43767133,129684.6714
A10,SYBR,,Unkn-13,,19.33023106,418.2783041
A11,SYBR,,Unkn-13,,19.52093938,369.8577278
A12,SYBR,,Unkn-13,,19.57822192,356.4395467
B01,SYBR,,Std-02,,10.45606558,100000
B02,SYBR,,Std-02,,10.6037548,100000
B03,SYBR,,Std-02,,10.39417549,100000
B04,SYBR,,Unkn-03,,14.47072012,9615.053461
B05,SYBR,,Unkn-03,,14.25521221,11049.18971
B06,SYBR,,Unkn-03,,14.36992795,10261.02125
B07,SYBR,,Unkn-04,,14.41507212,9966.497721
B08,SYBR,,Unkn-04,,14.22025931,11301.16363
B09,SYBR,,Unkn-04,,14.38464603,10164.05558
B10,SYBR,,Unkn-14,,19.43260624,391.5461375
B11,SYBR,,Unkn-14,,18.62456476,659.4341854
B12,SYBR,,Unkn-14,,18.44827008,738.8628567
C01,SYBR,,Std-03,,14.37207534,10000
C02,SYBR,,Std-03,,14.10737685,10000
C03,SYBR,,Std-03,,14.46447379,10000
C04,SYBR,,Unkn-05,,18.70794124,624.9020043
C05,SYBR,,Unkn-05,,18.59239244,673.2636329
C06,SYBR,,Unkn-05,,18.59439651,672.3937638
C07,SYBR,,Unkn-06,,18.63506429,654.9826705
C08,SYBR,,Unkn-06,,18.58452675,676.6886358
C09,SYBR,,Unkn-06,,18.58048332,678.4560644
C10,SYBR,,Unkn-15,,19.46189554,384.217355
C11,SYBR,,Unkn-15,,19.25951894,437.8009635
C12,SYBR,,Unkn-15,,23.53621492,27.73813626
D01,SYBR,,Std-04,,17.97055404,1000
D02,SYBR,,Std-04,,18.00284923,1000
D03,SYBR,,Std-04,,18.37393318,1000
D04,SYBR,,Unkn-07,,22.57701085,51.50114994
D05,SYBR,,Unkn-07,,22.2627375,63.07637223
D06,SYBR,,Unkn-07,,22.53909473,52.77641218
D07,SYBR,,Unkn-08,,22.16217825,67.30391603
D08,SYBR,,Unkn-08,,22.11818414,69.24144772
D09,SYBR,,Unkn-08,,22.15349612,67.68194031
D10,SYBR,,Unkn-16,,23.45523107,29.2258045
D12,SYBR,,Unkn-16,,21.26651375,119.9438922
E01,SYBR,,Std-05,,21.90343874,100
E02,SYBR,,Std-05,,21.77593279,100
E03,SYBR,,Std-05,,21.98702345,100
E04,SYBR,,Unkn-09,,26.1819842,5.032845849
E05,SYBR,,Unkn-09,,25.9622402,5.799348128
E06,SYBR,,Unkn-09,,25.73768768,6.703350525
E07,SYBR,,Unkn-10,,25.63816365,7.147851472
E08,SYBR,,Unkn-10,,25.62724944,7.198356423
E09,SYBR,,Unkn-10,,25.86533236,6.173476383
F04,SYBR,,Unkn-11,,29.73979157,0.50701966
F05,SYBR,,Unkn-11,,29.10126355,0.765457047
F06,SYBR,,Unkn-11,,28.60828245,1.052056478
F07,SYBR,,Unkn-12,,28.71762116,0.980405392
F08,SYBR,,Unkn-12,,28.77647295,0.943880948
F09,SYBR,,Unkn-12,,28.48626135,1.138218486
G01,SYBR,,Std-07,,28.28554178,1
G02,SYBR,,Std-07,,28.18334226,1
G03,SYBR,,Std-07,,28.97940905,1
